.,Czech
quest.name,Výprava za odpověďmi V2
quest.description,"Tento scénář je pokračováním scénáře Expedice hrůzy. Přinášíte relikvii zpět na Miskatonickou univerzitu v Arkhamu v naději, že vám vaši akademičtí spojenci pomohou rozluštit tajemství, která tato relikvie ukrývá.\n\nTento scénář obsahuje upravenou fázi Mýtu a náhodné události pro zvýšení znovuhratelnosti.\n\nPokud získáte stav Šílený, který vyžaduje oheň, zahoďte ho a lízněte si jinou kartu.\n\nVerze 2 – Přidán úvodní a závěrečný dabing."
UIIntroContinueButton.button1,Pokračovat
UIIntroContinueButton.uitext,Pokračovat
EventClueTokensStart.text,"Každý vyšetřovatel začíná vyšetřování s 1 žetonem Stopy.\n\nPo fyzických a psychických traumatech, které jste utrpěli během Expedice hrůzy, začíná každý vyšetřovatel hru se 2 kartami Strachu otočenými lícem nahoru / nebo 2 kartami Zranění otočenými lícem nahoru / nebo 1 kartou Strachu a 1 kartou Zranění otočenými lícem nahoru.\n\nNaštěstí vám zkušenosti pomohly zdokonalit vaše dovednosti. Každý vyšetřovatel si zlepší jednu dovednost dle svého výběru.\n\n**Poznámka: Hvězdný kalendář nelze zahodit ani odložit, pokud vám to není výslovně řečeno. Pokud by vás nějaký efekt přinutil Hvězdný kalendář odložit, utrpíte 1 Zranění otočené lícem dolů."
EventClueTokensStart.button1,Pokračovat
quest.synopsys,"V tomto pokračování scénáře Expedice hrůzy přinášíte relikvii na Miskatonickou univerzitu."
quest.authors,"Strategywizard\nSpanish Translation: T. García & Vidimus\nPolish Translation: Hacai\nCzech Translation: LabBrab"
quest.authors_short,Strategywizard
UIIntroText.uitext,"Poté, co jste získali Hvězdný kalendář z hloubi brazilské džungle,\njste se od něj drželi dál, obávajíc se, že byste mohli \notevřít další portál do nějaké hrůzné roviny existence.\n Také jste si všimli, že energie Hvězdného kalendáře \n v poslední době sílí. Po návratu do Arkhamu plánujete předat \n relikvii svému dobrému příteli a kolegovi, Eugene Clemensovi,\n který je zároveň děkanem univerzity.\n\nNedlouho po vašem návratu do Arkhamu už slyšíte různé zvěsti,\n že relikvie, kterou hledá Kult Zeleného oka, byla nalezena.\n Navíc zjišťujete, že jejich vliv se rychle šíří po celém městě.\n Víte, že ji musíte před nimi ukrýt za každou cenu,\n ale nevíte, komu můžete věřit. Určitě by zabili kohokoli,\n kdo by jim stál v cestě, jen aby dostali Hvězdný kalendář do svých rukou.\n\nEugene ví, že se s ním chystáte setkat, ale dali jste si pozor,\n abyste mu neprozradili své skutečné úmysly.\n Rychle projíždíte temnými ulicemi a nemůžete si nevšimnout každého člověka,\n který se potuluje ve stínech a uličkách.\n Mohli by to být členové Kultu Zeleného oka?\n Vědí, že máte artefakt, který tak zoufale hledají?\n Můžete jen doufat, že vaši totožnost jako objevitele relikvie neznají\n a že Eugene Vám bude schopen pomoci. Pokud však již byl zkorumpován,\n snad někdo další z vašich přátel na univerzitě bude důvěryhodný.\n Nemůžete si být jistí, kdo je na vaší straně, aniž byste to trochu prozkoumali."
